zipcode,GEOID10,latitude,longitude
33596,33596,27.88810175,-82.2361217
37347,37347,35.06113578,-85.6189402
37348,37348,35.1259415,-86.4373214
37350,37350,34.99392087,-85.3501835
61820,61820,40.10890556,-88.2435022
53406,53406,42.72987812,-87.8649033
53501,53501,42.60657386,-89.0647617
53501,53501,42.60321203,-89.0715703
53502,53502,42.73289297,-89.4419017
53503,53503,43.13929877,-89.9561758
61821,61821,40.14398244,-88.2682418
61821,61821,40.12675209,-88.2894097
61821,61821,40.10725558,-88.275253
61821,61821,40.08205088,-88.3064651
53504,53504,42.7042001,-89.8600204
53505,53505,42.65696108,-88.8188957
53506,53506,43.15081826,-90.2876992
53507,53507,43.00234795,-89.9026233
53508,53508,42.8688395,-89.5642812
61822,61822,40.16200909,-88.2086594
61822,61822,40.05785324,-88.2290999
61822,61822,40.13771602,-88.3077046
53510,53510,42.7372916,-90.3182349
61830,61830,40.02755878,-88.7225124
61831,61831,40.22509297,-87.7920712
53511,53511,42.49838784,-88.9126561
53511,53511,42.54604367,-89.0967656
53515,53515,43.11686166,-89.7513417
53516,53516,42.80167504,-89.8633388
53517,53517,43.0359397,-89.8317344
61832,61832,40.07731735,-87.6361705
61832,61832,40.09186409,-87.6470426
61832,61832,40.1386586,-87.6336908
61832,61832,40.14471905,-87.7096533
53518,53518,43.24518962,-90.5939974
61833,61833,40.10274372,-87.634165
61833,61833,40.09805468,-87.6442932
53520,53520,42.59968902,-89.3585432
53521,53521,42.84111389,-89.402739
61834,61834,40.17790533,-87.6228551
61834,61834,40.09585998,-87.672461
61834,61834,40.16834343,-87.6358008
53522,53522,42.55640456,-89.7902205
61839,61839,40.13773116,-88.6291414
61840,61840,40.30368983,-88.2989494
53523,53523,42.98407756,-89.0320443
61841,61841,40.02636286,-87.8242832
53525,53525,42.54799139,-88.8553476
2457,2457,42.29836899,-71.2684218
2458,2458,42.35277571,-71.1875065
2459,2459,42.31494365,-71.1917327
2460,2460,42.35199208,-71.2083682
2461,2461,42.31675492,-71.2084142
2462,2462,42.33012808,-71.241483
2462,2462,42.32983845,-71.2599406
2464,2464,42.31296862,-71.2117619
2464,2464,42.31860412,-71.2218034
2464,2464,42.31242128,-71.2193705
2465,2465,42.34915747,-71.2266599
2466,2466,42.34405926,-71.2480317
2467,2467,42.31641058,-71.1611606
2468,2468,42.32727722,-71.2306666
2472,2472,42.36998622,-71.1772751
2474,2474,42.42024141,-71.1565577
2476,2476,42.4162231,-71.1751543
2478,2478,42.39600372,-71.179509
2481,2481,42.29359971,-71.3044274
2481,2481,42.31355074,-71.2733602
2482,2482,42.31464747,-71.3134303
2482,2482,42.29383723,-71.2998418
2492,2492,42.2761211,-71.2437276
2493,2493,42.35892857,-71.3000802
2494,2494,42.29966489,-71.2320769
2532,2532,41.75151835,-70.5974155
2534,2534,41.66720011,-70.6203845
2535,2535,41.32942719,-70.7626869
75098,75098,33.01186375,-96.5347715
75101,75101,32.27003208,-96.7024949
75102,75102,32.06632502,-96.6422317
75103,75103,32.51192673,-95.8823429
75104,75104,32.58044328,-96.9661659
75105,75105,32.26653199,-96.3752132
75109,75109,32.04520647,-96.3540346
75110,75110,32.08693062,-96.5287822
75114,75114,32.61017044,-96.4455175
75115,75115,32.5988443,-96.8637297
75116,75116,32.66014554,-96.913964
75117,75117,32.71183322,-95.8508036
75119,75119,32.32976925,-96.593301
75124,75124,32.32678287,-95.9724312
75125,75125,32.5313651,-96.6248043
75126,75126,32.74206431,-96.451837
75127,75127,32.69120204,-95.7933512
75132,75132,32.94538194,-96.3737159
75134,75134,32.62007444,-96.7829825
75135,75135,33.06522466,-96.222917
48472,48472,43.51347901,-82.9552725
48473,48473,42.93989163,-83.8261883
42025,42025,36.85637914,-88.3345129
48475,48475,43.67061293,-82.9394341
48476,48476,42.93849701,-84.0299049
48502,48502,43.01363873,-83.6886373
42027,42027,36.91641083,-88.627611
42027,42027,36.90540183,-88.7410335
42028,42028,37.23924169,-88.337916
42029,42029,36.93431289,-88.3574347
42029,42029,36.94199705,-88.3948562
42029,42029,37.01586845,-88.3918643
48503,48503,43.01183342,-83.688471
42031,42031,36.6875387,-88.9912321
42032,42032,36.77217113,-89.1079693
42035,42035,36.90493581,-88.8419435
42036,42036,36.72213182,-88.225196
42037,42037,37.17278129,-88.1877071
48504,48504,43.05729097,-83.749827
42038,42038,37.04140577,-88.0222418
42039,42039,36.78262386,-88.8314409
42040,42040,36.62047236,-88.5026756
42041,42041,36.54752553,-88.8748624
48505,48505,43.07040242,-83.6875051
29324,29324,34.9861525,-81.8216624
29324,29324,34.98356309,-81.8269408
29325,29325,34.47226714,-81.8426758
27030,27030,36.48898645,-80.628968
27040,27040,36.1688876,-80.3897575
27041,27041,36.41988367,-80.482403
27042,27042,36.34116297,-80.0559345
27043,27043,36.33748246,-80.4502943
27045,27045,36.23488038,-80.2957756
27046,27046,36.49321325,-80.0905501
27047,27047,36.3115553,-80.5776571
27048,27048,36.47574337,-79.9105815
27050,27050,36.23600192,-80.4013001
27051,27051,36.18760434,-80.1605027
27052,27052,36.32617432,-80.1543918
27053,27053,36.47282199,-80.3482808
27054,27054,35.79243776,-80.5984258
27055,27055,36.11344156,-80.6337159
27101,27101,36.11173439,-80.1985942
27103,27103,36.05798816,-80.3214825
27104,27104,36.09481432,-80.3238953
27105,27105,36.16284141,-80.2347667
27106,27106,36.18270144,-80.3431131
27106,27106,36.14284422,-80.322576
27107,27107,36.01471903,-80.1783104
27109,27109,36.13395318,-80.2776385
27110,27110,36.08925964,-80.2249597
27127,27127,36.01990699,-80.2789208
43469,43469,41.45944296,-83.3631828
43501,43501,41.67247352,-84.4572659
43502,43502,41.5302159,-84.2988395
43504,43504,41.69577935,-83.8367661
43505,43505,41.52394225,-84.7312727
43506,43506,41.5622025,-84.513106
43506,43506,41.46600086,-84.5563565
43511,43511,41.26338574,-83.8236807
43512,43512,41.30271696,-84.3580541
43515,43515,41.58529861,-84.0077652
43516,43516,41.29109125,-83.9399937
43516,43516,41.21582482,-83.9142377
43517,43517,41.44020331,-84.7268421
43518,43518,41.58912905,-84.7539364
43519,43519,41.42090942,-84.4085312
43521,43521,41.66290936,-84.2987249
43522,43522,41.41915408,-83.8448193
43523,43523,41.33706523,-83.989254
43524,43524,41.22847287,-84.0395533
43525,43525,41.46658249,-83.70445
43526,43526,41.3144751,-84.7280586
43527,43527,41.25057257,-84.1601066
43528,43528,41.62859908,-83.7489584
97884,97884,44.45642536,-118.218199
97885,97885,45.65584576,-117.511775
97886,97886,45.79871485,-118.234757
97901,97901,43.62895196,-117.090053
97903,97903,44.2486833,-117.620567
97904,97904,43.88226152,-118.510621
97905,97905,44.5738101,-117.459501
97906,97906,43.52610355,-117.773517
97907,97907,44.4278799,-117.28269
97907,97907,44.34869455,-117.5532
97908,97908,44.30927771,-117.939426
97909,97909,44.24651393,-117.418936
97911,97911,43.754203,-118.057085
97914,97914,44.11323671,-117.084052
97918,97918,44.04161737,-117.361133
97920,97920,44.07266062,-117.84643
71944,71944,34.24348624,-94.3341718
73118,73118,35.51831151,-97.5295292
71945,71945,34.48403283,-94.3395455
73119,73119,35.42200675,-97.5661264
71949,71949,34.68061305,-93.0742159
71949,71949,34.6950235,-93.2188932
71950,71950,34.24822317,-93.7102888
71952,71952,34.28150369,-93.8386105
71952,71952,34.3309498,-93.871691
73120,73120,35.58042326,-97.5722339
73121,73121,35.49952164,-97.4006692
73121,73121,35.52182318,-97.4423188
73122,73122,35.51987273,-97.61433
73127,73127,35.47756033,-97.6539205
73128,73128,35.45034131,-97.6434367
73129,73129,35.43148072,-97.4842823
71953,71953,34.61428358,-94.1949052
73130,73130,35.45865336,-97.3455872
73131,73131,35.57670242,-97.4643223
71956,71956,34.5976471,-93.1538555
73132,73132,35.55091731,-97.6399392
73134,73134,35.6142163,-97.5683138
71957,71957,34.56371692,-93.5800115
73135,73135,35.39482305,-97.4288259
73139,73139,35.38473402,-97.5255918
71958,71958,34.11257683,-93.6660649
73141,73141,35.51693636,-97.3977716
71959,71959,34.24727781,-93.932927
73142,73142,35.61374079,-97.6424534
94133,94133,37.80470025,-122.410745
94134,94134,37.71935766,-122.411776
94158,94158,37.76936306,-122.386704
94301,94301,37.44413137,-122.149917
94303,94303,37.4508041,-122.118566
94304,94304,37.43781451,-122.177052
94304,94304,37.37732149,-122.173713
94305,94305,37.41718158,-122.170972
94306,94306,37.41570342,-122.130772
94401,94401,37.57696841,-122.31697
94402,94402,37.55589952,-122.319756
94402,94402,37.5673796,-122.345569
94402,94402,37.52432114,-122.34211
94403,94403,37.53847783,-122.304515
94404,94404,37.55596645,-122.268871
94501,94501,37.77408431,-122.278048
94502,94502,37.73720615,-122.245549
94503,94503,38.18420735,-122.262967
94505,94505,37.86765278,-121.586316
94506,94506,37.80813573,-121.906363
94507,94507,37.8504156,-122.021093
42440,42440,37.24160682,-87.4649648
48801,48801,43.36437552,-84.5379509
48801,48801,43.37805618,-84.683768
42441,42441,37.354878,-87.6682477
39563,39563,30.42497676,-88.5232665
48806,48806,43.18498833,-84.4975423
42442,42442,37.1636911,-87.4955933
48807,48807,43.15302442,-84.4048333
48808,48808,42.77778419,-84.4453226
48808,48808,42.82576249,-84.4482896
48809,48809,43.06537412,-85.2582473
42445,42445,37.13021581,-87.8547219
39564,39564,30.40434438,-88.7591722
48811,48811,43.18110104,-84.8549946
42450,42450,37.30987319,-87.7558054
42450,42450,37.3993806,-87.7635698
39565,39565,30.58047693,-88.7431094
42451,42451,37.88632209,-87.3914848
42452,42452,37.68824542,-87.5322627
42453,42453,37.17992446,-87.5477718
42453,42453,37.15776035,-87.6040063
39567,39567,30.20417919,-88.4510862
39567,39567,30.22271455,-88.5136467
39567,39567,30.36351787,-88.5466668
39567,39567,30.33410688,-88.5782001
39567,39567,30.23597708,-88.6754058
48813,48813,42.66685812,-84.6874544
48813,48813,42.41808654,-84.7896211
48813,48813,42.57832997,-84.8488994
42455,42455,37.58709798,-87.5416926
48815,48815,42.84129185,-85.2571049
48816,48816,42.76411719,-83.9546186
42456,42456,37.51336334,-87.4943194
42458,42458,37.84120719,-87.423592
48817,48817,43.01789614,-84.0386065
48818,48818,43.27546853,-84.8921579
42459,42459,37.55855683,-88.0153584
95834,95834,38.64203739,-121.520254
95835,95835,38.67074468,-121.525762
95837,95837,38.70044102,-121.591506
95838,95838,38.64677904,-121.444927
95841,95841,38.66037149,-121.34739
95842,95842,38.68678206,-121.349164
95843,95843,38.71546175,-121.363422
95864,95864,38.5852951,-121.376184
95901,95901,39.37278889,-121.427752
95901,95901,39.2195897,-121.492497
95903,95903,39.10251945,-121.368283
95910,95910,39.4744124,-120.822639
95912,95912,38.90608012,-121.988817
95912,95912,39.01653601,-122.061832
95914,95914,39.4445539,-121.333161
95914,95914,39.36214643,-121.40493
95915,95915,39.99661867,-121.161924
95915,95915,39.93084865,-121.307317
37351,37351,35.10095781,-85.2614738
37352,37352,35.28091509,-86.3552644
33597,33597,28.54893819,-82.0805816
37353,37353,35.11864426,-84.9866698
33598,33598,27.68652291,-82.2817139
37354,37354,35.50009588,-84.3484597
33602,33602,27.95364352,-82.4568568
33603,33603,27.98543577,-82.4646323
37355,37355,35.50099192,-86.0847535
33604,33604,28.01696559,-82.4552786
37356,37356,35.22899674,-85.8242111
37357,37357,35.58609567,-85.9172021
37359,37359,35.2042008,-86.4128743
37360,37360,35.44057369,-86.2549507
37361,37361,35.09882719,-84.6863394
53526,53526,42.97409815,-90.3436438
61842,61842,40.23924704,-88.6658158
53527,53527,43.06170352,-89.1926478
61843,61843,40.27456034,-88.4319628
61843,61843,40.31644546,-88.3826422
53528,53528,43.11867397,-89.6387953
53529,53529,43.24150954,-89.515512
61844,61844,40.13876345,-87.8703478
61845,61845,40.31915262,-88.455443
61845,61845,40.37418282,-88.3992255
53530,53530,42.6938365,-90.10587
61846,61846,39.97626368,-87.612411
53531,53531,43.04194738,-89.016283
53531,53531,43.06135614,-89.1022042
61847,61847,40.31311606,-88.0153903
61848,61848,40.30806051,-87.7027712
61849,61849,40.01113857,-87.9619233
61850,61850,39.93246371,-87.7376638
61851,61851,39.96084738,-88.4347121
53532,53532,43.16886105,-89.2993081
53532,53532,43.24931951,-89.3247578
61852,61852,39.90315521,-88.0758018
61853,61853,40.28912682,-88.4318834
61853,61853,40.22001512,-88.4164865
53533,53533,42.99397878,-90.1467716
61854,61854,40.2040132,-88.5240334
61855,61855,39.92212868,-88.6608777
53534,53534,42.84999059,-89.0874841
61856,61856,40.02687356,-88.5795265
